             t,             x,             y,             z,       particle
     5.28660826,    13.62147532,     18.1795877,    29.50491773,              8
    5.296620776,    14.07728656,    17.82195181,    31.47913401,              8
    5.306633292,    14.45175308,    17.21104151,    33.43068842,              8
    5.316645807,    14.72768192,    16.34492412,    35.29335615,              8
    5.326658323,    14.88940614,    15.23537782,    36.99842033,              8
    5.336670839,    14.92400331,    13.90857894,    38.48074782,              8
    5.346683354,    14.82246087,    12.40417763,    39.68520773,              8
     5.35669587,    14.58063255,    10.77270349,    40.57230953,              8
    5.366708385,    14.19983964,    9.071566442,    41.12199292,              8
    5.376720901,    13.68701232,    7.360208311,    41.33486606,              8
    5.386733417,    13.05433192,     5.69513305,    41.23075415,              8
    5.396745932,    12.31841203,    4.125548761,    40.84499987,              8
    5.406758448,    11.49912571,    2.690197133,    40.22336873,              8
    5.416770964,    10.61823285,    1.415678366,    39.41655796,              8
    5.426783479,    9.697977401,   0.3162814941,    38.47519475,              8
    5.436795995,    8.759807811,   -0.604922046,    37.44592639,              8
    5.446808511,    7.823334825,   -1.354118933,    36.36886693,              8
    5.456821026,    6.905589449,   -1.944369794,    35.27636944,              8
    5.466833542,    6.020593525,   -2.393192088,    34.19289377,              8
    5.476846058,    5.179214964,   -2.720395758,    33.13564787,              8
    5.486858573,    4.389253892,   -2.946334364,    32.11567758,              8
    5.496871089,    3.655695066,   -3.090625218,     31.1391323,              8
    5.506883605,    2.981063038,   -3.171313017,    30.20851016,              8
     5.51689612,    2.365825432,   -3.204406006,    29.32376318,              8
    5.526908636,    1.808802288,   -3.203696637,    28.48320611,              8
    5.536921151,    1.307552396,   -3.180780956,     27.6842177,              8
    5.546933667,   0.8587190607,   -3.145203872,    26.92375078,              8
    5.556946183,   0.4583267674,   -3.104674147,    26.19868105,              8
    5.566958698,    0.102026676,   -3.065309165,    25.50602901,              8
    5.576971214,  -0.2147069081,   -3.031883161,     24.8430874,              8
     5.58698373,  -0.4964245334,   -3.008062962,     24.2074822,              8
    5.596996245,  -0.7475883762,   -2.996622649,    23.59718969,              8
    5.607008761,  -0.9724918035,   -2.999633397,    23.01052656,              8
    5.617021277,   -1.175205963,   -3.018627806,    22.44612535,              8
    5.627033792,   -1.359548147,    -3.05473978,    21.90290376,              8
    5.637046308,    -1.52906731,   -3.108821931,    21.38003334,              8
    5.647058824,   -1.687042773,   -3.181542901,    20.87691086,              8
    5.657071339,   -1.836492785,   -3.273467062,    20.39313445,              8
    5.667083855,   -1.980190213,   -3.385118967,    19.92848512,              8
     5.67709637,   -2.120683089,   -3.517034726,    19.48291426,              8
    5.687108886,   -2.260318252,   -3.669802223,    19.05653678,              8
    5.697121402,   -2.401266649,   -3.844091816,    18.64962982,              8
    5.707133917,   -2.545549166,   -4.040678832,    18.26263666,              8
    5.717146433,   -2.695062133,   -4.260458888,    17.89617568,              8
    5.727158949,   -2.851601808,    -4.50445671,    17.55105405,              8
    5.737171464,   -3.016887298,   -4.773828791,    17.22828615,              8
     5.74718398,   -3.192581448,   -5.069859858,    16.92911648,              8
    5.757196496,   -3.380309289,   -5.393952733,    16.65504726,              8
    5.767209011,   -3.581673633,   -5.747610732,    16.40787041,              8
    5.777221527,   -3.798267343,   -6.132411301,    16.18970402,              8
    5.787234043,   -4.031681739,   -6.549969057,     16.0030328,              8
    5.797246558,   -4.283510471,   -7.001885838,    15.85075224,              8
    5.807259074,   -4.555348007,   -7.489684795,    15.73621523,              8
    5.817271589,   -4.848781686,   -8.014724888,    15.66327996,              8
    5.827284105,   -5.165376006,   -8.578091584,    15.63635649,              8
    5.837296621,   -5.506647564,      -9.180459,    15.66044877,              8
    5.847309136,   -5.874028708,   -9.821918449,    15.74118723,              8
    5.857321652,   -6.268817682,   -10.50176839,    15.88484529,              8
    5.867334168,   -6.692112753,   -11.21826149,    16.09833105,              8
    5.877346683,   -7.144727627,   -11.96830616,    16.38914275,              8
    5.887359199,    -7.62708548,   -12.74712311,    16.76527368,              8
    5.897371715,   -8.139089243,   -13.54786254,    17.23504946,              8
     5.90738423,   -8.679966573,   -14.36119518,    17.80687797,              8
    5.917396746,   -9.248089434,   -15.17490137,    18.48889077,              8
    5.927409262,   -9.840770628,   -15.97349621,    19.28845537,              8
    5.937421777,   -10.45404319,   -16.73794606,    20.21154164,              8
    5.947434293,   -11.08243347,   -17.44555005,    21.26193469,              8
    5.957446809,   -11.71874513,   -18.07007748,    22.44030204,              8
    5.967459324,   -12.35387837,   -18.58226278,     23.7431469,              8
     5.97747184,   -12.97671681,   -18.95075733,    25.16171177,              8
    5.987484355,   -13.57412086,   -19.14361396,    26.68093636,              8
    5.997496871,   -14.13107017,   -19.13032815,    28.27861647,              8
    6.007509387,   -14.63099597,   -18.88437609,    29.92494795,              8
    6.017521902,   -15.05633398,     -18.386079,    31.58265996,              8
